feature,mean_abs_shap
pad,4.0298557
pas,0.9340402
hba1c,0.6312163
glucosa,0.49250618
tiempo_enfermedad,0.16883808
temp,0.101996206
sintoma_polidipsia,0.018756866
sintoma_mareo,0.015148192
creatinina,0.014496525
sintoma_tinnitus,0.014429889
leucocitos,0.011933351
sintoma_epistaxis,0.007955226
sintoma_cefalea,0.006597937
ant_familiar_dm,0.0060599456
presion_pulso,0.00159439
edad,0.00058093446
imc,0.00050574733
spo2,0.0
ocupacion,0.0
distrito,0.0
area,0.0
sexo,0.0
ant_familiar_hta,0.0
sedentarismo,0.0
alcoholismo,0.0
tabaquismo,0.0
colesterol,0.0
fc,0.0
fr,0.0
sintoma_heridas_lentas,0.0
sintoma_deshidratacion,0.0
sintoma_tos,0.0
sintoma_perdida_apetito,0.0
sintoma_vision_borrosa,0.0
sintoma_dolor_abdominal,0.0
sintoma_poliuria,0.0
sintoma_dificultad_respiratoria,0.0
sintoma_diarrea,0.0
sintoma_polifagia,0.0
sintoma_asintomatico,0.0
sintoma_perdida_peso,0.0
sintoma_fiebre,0.0
sintoma_debilidad,0.0
sintoma_nauseas,0.0
sintoma_escalofrios,0.0
sintoma_infecciones_frecuentes,0.0
sintoma_malestar_general,0.0
sintoma_vomitos,0.0
sintoma_palpitaciones,0.0
sintoma_dolor_garganta,0.0
sintoma_congestion_nasal,0.0
sintoma_fatiga,0.0
sintoma_dolor_pecho,0.0
imc_categoria,0.0
