feature,mean_abs_shap
temp,1.9160432
spo2,1.4611139
creatinina,0.72454697
fr,0.56622857
leucocitos,0.3107937
sintoma_congestion_nasal,0.18551297
sintoma_dolor_garganta,0.16581127
sintoma_malestar_general,0.14949344
sintoma_escalofrios,0.13773943
sintoma_tos,0.12723517
sintoma_dolor_pecho,0.11838212
sintoma_vomitos,0.11669029
sintoma_dificultad_respiratoria,0.11613797
sintoma_fiebre,0.09988778
sintoma_perdida_apetito,0.09132293
pas,0.08846758
sintoma_dolor_abdominal,0.08407656
sintoma_deshidratacion,0.07233142
sintoma_debilidad,0.06534369
sintoma_cefalea,0.061330125
sintoma_nauseas,0.058500938
sintoma_diarrea,0.028960299
pad,0.0164023
glucosa,0.009940078
imc,0.003477644
ant_familiar_hta,0.0
tabaquismo,0.0
ant_familiar_dm,0.0
sedentarismo,0.0
alcoholismo,0.0
sexo,0.0
area,0.0
distrito,0.0
edad,0.0
ocupacion,0.0
colesterol,0.0
fc,0.0
hba1c,0.0
sintoma_polifagia,0.0
sintoma_asintomatico,0.0
sintoma_perdida_peso,0.0
sintoma_vision_borrosa,0.0
sintoma_polidipsia,0.0
tiempo_enfermedad,0.0
sintoma_heridas_lentas,0.0
sintoma_poliuria,0.0
sintoma_palpitaciones,0.0
sintoma_tinnitus,0.0
sintoma_infecciones_frecuentes,0.0
sintoma_mareo,0.0
sintoma_epistaxis,0.0
sintoma_fatiga,0.0
presion_pulso,0.0
imc_categoria,0.0
